City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,taroa,8.7058,171.2275,28.17,79,94,4.94,MH,1722913131
198,malango,-2.9627,119.9001,25.83,69,31,2.17,ID,1722913133
199,priargunsk,50.3691,119.1012,22.42,64,93,1.38,RU,1722913134
200,chilecito,-29.1619,-67.4974,11.24,33,0,0.96,AR,1722913135
201,mount isa,-20.7333,139.5,23.87,41,0,4.12,AU,1722913136
202,palopo,-2.9996,120.1921,27.87,73,37,1.63,ID,1722913137
203,aquidauana,-20.4711,-55.7872,24.1,34,0,2.18,BR,1722913138
204,kirensk,57.7853,108.1119,24.95,34,6,0.9,RU,1722912860
205,ilulissat,69.2167,-51.1,0.93,86,14,1.49,GL,1722913049
206,murun-kuren,49.6342,100.1625,22.54,48,30,1.65,MN,1722913141
207,georgetown,5.4112,100.3354,29.96,61,20,1.54,MY,1722912886
208,mbekenyera,-10.0,38.9833,15.55,83,0,1.15,TZ,1722913143
209,karratha,-20.7377,116.8463,23.35,30,100,5.47,AU,1722913144
210,zirc,47.2636,17.8737,14.77,83,1,2.72,HU,1722913145
211,zvishavane,-20.3267,30.0665,14.29,85,100,4.5,ZW,1722913146
212,queenstown,-31.8976,26.8753,5.75,31,0,2.48,ZA,1722913147
213,palangkaraya,-2.2,113.8333,31.51,53,92,1.53,ID,1722913148
214,lospalos,-8.5186,127.0025,26.03,63,38,5.59,TL,1722913150
215,xiongzhou,25.1167,114.3,33.66,59,100,0.71,CN,1722913152
216,vermillion,42.7794,-96.9292,21.09,84,37,6.21,US,1722913120
217,fukuecho,32.6881,128.8419,32.2,74,20,2.06,JP,1722913154
218,greymouth,-42.4667,171.2,11.1,67,46,1.48,NZ,1722913014
219,actopan,20.2667,-98.9333,17.04,84,73,2.3,MX,1722913156
220,khandyga,62.6667,135.6,11.89,91,100,1.2,RU,1722913157
221,katsuura,35.1333,140.3,27.75,76,29,3.86,JP,1722913158
222,salinas,36.6777,-121.6555,20.79,80,0,5.14,US,1722913159
223,calvinia,-31.4707,19.776,5.67,44,0,1.88,ZA,1722913160
224,dalnegorsk,44.5604,135.5701,28.37,58,27,2.33,RU,1722913161
225,agadez,19.75,10.25,29.42,24,39,1.52,NE,1722913162
226,waingapu,-9.6567,120.2641,29.39,57,6,7.82,ID,1722913163
227,nantucket,41.2835,-70.0995,24.44,96,40,5.66,US,1722912976
228,acapulco de juarez,16.8634,-99.8901,25.15,79,71,0.6,MX,1722913055
229,tsiombe,-25.3,45.4833,16.8,95,9,0.61,MG,1722913167
230,larache,35.1932,-6.1557,21.06,93,0,3.32,MA,1722913168
231,'alaqahdari dishu,30.4374,63.313,33.98,43,6,8.33,AF,1722913169
232,mbandaka,0.0487,18.2603,21.6,83,93,1.46,CD,1722913170
233,souillac,-20.5167,57.5167,19.21,88,40,0.51,MU,1722913171
234,bathsheba,13.2167,-59.5167,27.34,89,20,3.09,BB,1722913172
235,novi sanzhary,49.3439,34.3108,18.14,56,100,1.21,UA,1722913173
236,howard springs,-12.497,131.047,31.1,50,14,4.28,AU,1722913073
237,rio verde de mato grosso,-18.9181,-54.8442,22.88,31,0,2.57,BR,1722913175
238,saurimo,-9.6608,20.3916,15.58,28,31,2.1,AO,1722913176
239,barra de santo antonio,-9.4047,-35.5072,21.6,75,11,4.68,BR,1722913177
240,derbent,42.0678,48.2899,25.48,76,0,5.26,RU,1722913178
241,ocean city,39.2776,-74.5746,24.54,88,3,5.03,US,1722913171
242,dunedin,-45.8742,170.5036,11.74,55,8,1.24,NZ,1722913180
243,okha,53.5739,142.9478,16.24,91,100,6.06,RU,1722912837
244,hammerfest,70.6634,23.6821,15.62,58,69,3.83,NO,1722913183
245,kone,-21.0595,164.8658,25.08,42,1,2.28,NC,1722913132
246,kapuskasing,49.4169,-82.4331,15.05,76,75,1.54,CA,1722913131
247,salalah,17.0151,54.0924,23.67,95,100,2.16,OM,1722913186
248,yoloten,37.2989,62.3597,29.99,15,0,4.5,TM,1722913188
249,moshkovo,55.3053,83.6104,19.26,71,98,3.13,RU,1722913189
250,kokopo,-4.352,152.2633,30.01,66,84,5.59,PG,1722913190
251,kattivakkam,13.2167,80.3167,29.5,83,100,4.55,IN,1722913191
252,katrineholm,58.9959,16.2072,14.29,94,75,1.21,SE,1722913192
253,khash,28.2211,61.2158,26.45,56,60,1.81,IR,1722913193
254,la passe,45.5549,-0.8967,19.43,90,1,1.35,FR,1722913194
255,capim grosso,-11.3811,-40.0128,16.77,90,0,3.55,BR,1722913196
256,babayevo,59.3936,35.9371,13.89,94,99,1.57,RU,1722913197
257,al mijlad,11.0333,27.7333,24.59,76,100,4.59,SD,1722913198
258,porbandar,21.6422,69.6093,28.22,82,98,7.44,IN,1722913199
259,ginir,7.1333,40.7,15.45,86,98,2.31,ET,1722913200
260,kapa'a,22.0752,-159.319,29.18,72,0,7.72,US,1722913016
261,utrik,11.2278,169.8474,28.38,79,100,4.78,MH,1722913203
262,santa cruz,-17.8,-63.1667,21.7,94,41,2.57,BO,1722913120
263,ankang,32.68,109.0172,30.69,71,3,0.37,CN,1722913206
264,robit,12.0167,39.6333,19.93,79,100,2.46,ET,1722913207
265,dakoro,14.5106,6.765,26.35,76,100,5.45,NE,1722913208
266,bulata,9.8599,122.4016,29.32,77,98,5.73,PH,1722913209
267,banff,51.1762,-115.5698,13.57,94,77,1.54,CA,1722913210
268,ancud,-41.8697,-73.8203,7.24,79,100,4.47,CL,1722913211
269,lethem,3.3803,-59.7968,26.2,72,44,0.78,GY,1722913212
270,avarua,-21.2078,-159.775,25.03,83,100,3.6,CK,1722913098
271,kruisfontein,-34.0033,24.7314,8.49,53,0,2.2,ZA,1722912993
272,fortuna,40.5982,-124.1573,15.52,93,100,2.06,US,1722912975
